fund_code,department_code,account_code,ordinance_amount,recommended_amount,fund_name,department_name,account_name,delta_amount,pct_change
002C,41,0140,0.0,0.0,Housing Opportunities for People with AIDS,Chicago Department of Public Health,PROFESSIONAL AND TECHNICAL SERVICES,0.0,0.0
003C,5,0140,0.0,0.0,Coronavirus Relief Fund,Office of Budget and Management,PROFESSIONAL AND TECHNICAL SERVICES,0.0,0.0
005C,41,0135,4248000.0,4248000.0,Community Development Block Grant - CARES ACT,Chicago Department of Public Health,For Delegate Agencies,0.0,0.0
005C,50,0135,1100000.0,1100000.0,Community Development Block Grant - CARES ACT,Department of Family and Support Services,For Delegate Agencies,0.0,0.0
005C,54,0140,0.0,0.0,Community Development Block Grant - CARES ACT,Department of Planning and Development,PROFESSIONAL AND TECHNICAL SERVICES,0.0,0.0
0075,5,0005,1211383.0,1211383.0,Grants Management Fund,Office of Budget and Management,Salaries and Wages - on Payroll,0.0,0.0
0075,5,0006,400031.0,400031.0,Grants Management Fund,Office of Budget and Management,Salary Provision,0.0,0.0
0075,5,0015,18069.0,18069.0,Grants Management Fund,Office of Budget and Management,Schedule Salary Adjustments,0.0,0.0
0075,5,0039,26876.0,26876.0,Grants Management Fund,Office of Budget and Management,For the Employment of Students as Trainees,0.0,0.0
0075,5,0044,815291.0,815291.0,Grants Management Fund,Office of Budget and Management,Fringe Benefits,0.0,0.0
0075,5,0140,507000.0,507000.0,Grants Management Fund,Office of Budget and Management,For Professional and Technical Services and Other Third Party Benefit Agreements,0.0,0.0
0075,5,0166,5000.0,5000.0,Grants Management Fund,Office of Budget and Management,"Dues, Subscriptions and Memberships",0.0,0.0
0075,5,0190,2250.0,2250.0,Grants Management Fund,Office of Budget and Management,Telephone - Centrex Billings,0.0,0.0
0075,5,0245,15000.0,15000.0,Grants Management Fund,Office of Budget and Management,Reimbursement to Travelers,0.0,0.0
0075,5,0350,5000.0,5000.0,Grants Management Fund,Office of Budget and Management,Stationery and Office Supplies,0.0,0.0
0075,27,0005,1308112.0,1308112.0,Grants Management Fund,Department of Finance,Salaries and Wages - on Payroll,0.0,0.0
0075,27,0006,0.0,0.0,Grants Management Fund,Department of Finance,SALARY PROVISION,0.0,0.0
