fund_code,department_code,account_code,ordinance_amount,recommended_amount,fund_name,department_name,account_name,delta_amount,pct_change
0075,5,0005,1235614.0,1235614.0,Grants Management Fund,Office of Budget and Management,Salaries and Wages - on Payroll,0.0,0.0
0075,5,0015,11083.0,11083.0,Grants Management Fund,Office of Budget and Management,Schedule Salary Adjustments,0.0,0.0
0075,5,0039,26108.0,26108.0,Grants Management Fund,Office of Budget and Management,For the Employment of Students as Trainees,0.0,0.0
0075,5,0044,723000.0,723000.0,Grants Management Fund,Office of Budget and Management,Fringe Benefits,0.0,0.0
0075,5,0140,696301.0,696301.0,Grants Management Fund,Office of Budget and Management,For Professional and Technical Services and Other Third Party Benefit Agreements,0.0,0.0
0075,5,0152,0.0,0.0,Grants Management Fund,Office of Budget and Management,ADVERTISING,0.0,0.0
0075,5,0166,894.0,894.0,Grants Management Fund,Office of Budget and Management,"Dues, Subscriptions and Memberships",0.0,0.0
0075,5,0169,0.0,0.0,Grants Management Fund,Office of Budget and Management,TECHNICAL MEETING COSTS,0.0,0.0
0075,5,0245,0.0,0.0,Grants Management Fund,Office of Budget and Management,REIMBURSEMENT TO TRAVELERS,0.0,0.0
0075,5,0350,5000.0,5000.0,Grants Management Fund,Office of Budget and Management,Stationery and Office Supplies,0.0,0.0
0075,21,0005,448928.0,448928.0,Grants Management Fund,Department of Housing,Salaries and Wages - on Payroll,0.0,0.0
0075,21,0006,0.0,0.0,Grants Management Fund,Department of Housing,SALARY PROVISION,0.0,0.0
0075,21,0015,15086.0,15086.0,Grants Management Fund,Department of Housing,Schedule Salary Adjustments,0.0,0.0
0075,21,0044,268111.0,268111.0,Grants Management Fund,Department of Housing,Fringe Benefits,0.0,0.0
0075,27,0005,3055650.0,3055650.0,Grants Management Fund,Department of Finance,Salaries and Wages - on Payroll,0.0,0.0
0075,27,0006,0.0,0.0,Grants Management Fund,Department of Finance,SALARY PROVISION,0.0,0.0
0075,27,0015,46843.0,46843.0,Grants Management Fund,Department of Finance,Schedule Salary Adjustments,0.0,0.0
